id,label,url,http_code,elapsed_ms,body_bytes,error,search_hits,excerpt,body_sha256
P001_springer,Auer 2002 UCB1 -- Springer abstract,https://link.springer.com/article/10.1023/A:1013689704352,200,1516,240053,,regret|logarithmic|uniformly,"[match: 'regret'] ...of a policy&#39;s success in addressing this dilemma is the regret, that is the loss due to the fact that the globally optimal policy is not followed all the times. One of the simplest examples of the exploration/exploitation dilemma is the multi-armed bandit problem. Lai and Robbins were the first ones to show that the regret for this problem has to grow at...",3f68993e01651ba1
P001_semanticscholar,Auer 2002 UCB1 -- Semantic Scholar API,"https://api.semanticscholar.org/graph/v1/paper/DOI:10.1023/A:1013689704352?fields=title,authors,year,abstract,externalIds",200,298,945,,abstract,"[match: 'abstract'] ...following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.1023/A:1013689704352?email=<INSERT_YOUR_EMAIL> or https://doi.org/10.1023/A:1013689704352, which is subject to the license by the author or copyright owner provided with this content. Please go to the source to verify the lic...",73fada940dc760fe
P002_acm,Mohan 1992 ARIES -- ACM DL abstract page,https://dl.acm.org/doi/abs/10.1145/128765.128770,200,1734,212658,,ARIES|write-ahead|atomicity|WAL,"[match: 'ARIES'] ...<title>ARIES: a transaction recovery method supporting fine-granularity locking and partial rollbacks using write-ahead logging: ACM Transactions on Database Systems: Vol 17, No 1</title>...",71f2921485328d05
P002_semanticscholar,Mohan 1992 ARIES -- Semantic Scholar API,"https://api.semanticscholar.org/graph/v1/paper/DOI:10.1145/128765.128770?fields=title,authors,year,abstract,externalIds",200,322,1046,,ARIES|abstract,"[match: 'ARIES'] ...""10.1145/128765.128770"", ""CorpusId"": 263876813}, ""title"": ""ARIES"", ""year"": 1992, ""openAccessPdf"": {""url"": ""https://dl.acm.org/doi/pdf/10.1145/128765.128770"", ""status"": ""BRONZE"", ""license"": null, ""disclaimer"": ""Notice: The following paper fields have been elided by the publisher: {'abstract'}. Paper or abstract available at https://api.unpaywall.org/v2/10.11...",9a6f29a1cbaf2ef7
P002_doi_redirect,Mohan 1992 ARIES -- DOI resolver,https://doi.org/10.1145/128765.128770,403,211,0,HTTPError: 403 Forbidden,,,
P004_wikipedia_api,Meyer 1988 DbC -- Wikipedia REST API (plain text extract),https://en.wikipedia.org/api/rest_v1/page/summary/Design_by_contract,200,173,1933,,contract,"[match: 'contract'] ...{""type"":""standard"",""title"":""Design by contract"",""displaytitle"":""<span lang=\""en\"" dir=\""ltr\""><span class=\""mw-page-title-main\"">Design by contract</span></span>"",""namespace"":{""id"":0,""text"":""""},""wikibase_item"":""Q1200691"",""titles"":{""canonical"":""Design_by_contract"",""normalized"":""Design by contract"",""display"":""<span lang=\""en\"" dir=\""ltr\""...",af4ba7e21e9b1171
P004_wikipedia_parse,Meyer 1988 DbC -- Wikipedia parse API (full intro),https://en.wikipedia.org/w/api.php?action=query&titles=Design_by_contract&prop=extracts&exintro=1&explaintext=1&format=json,200,203,1230,,contract|precondition|postcondition|obligation,"[match: 'contract'] ...batchcomplete"":"""",""query"":{""normalized"":[{""from"":""Design_by_contract"",""to"":""Design by contract""}],""pages"":{""39289"":{""pageid"":39289,""ns"":0,""title"":""Design by contract"",""extract"":""Design by contract (DbC), also known as contract programming, programming by contract and design-by-contract programming, is an approach for designing software.\nIt prescribes that s...",a276cd43ad4e11e4
P004_semanticscholar_book,Meyer 1988 DbC -- Semantic Scholar (ISBN lookup),"https://api.semanticscholar.org/graph/v1/paper/ISBN:9780136291558?fields=title,authors,year,abstract,externalIds",429,260,0,HTTPError: 429 ,,,
P005_springer,Merkle 1987 CRYPTO -- Springer chapter page,https://link.springer.com/chapter/10.1007/3-540-48184-2_32,200,1475,227283,,Merkle|hash|signature|tree|conventional,"[match: 'Merkle'] ...of modular...""/> <meta name=""citation_author"" content=""Merkle, Ralph C.""/> <meta name=""citation_author_institution"" content=""Elxsi""/> <meta name=""citation_publisher"" content=""Springer, Berlin, Heidelberg""/> <meta name=""citation_springer_api_url"" content=""http://api.springer.com/xmldata/jats?q=doi:10.1007/3-540-48184-2_32&amp;api_key=""/>...",d4b6d37677138583
P005_semanticscholar,Merkle 1987 CRYPTO -- Semantic Scholar API,"https://api.semanticscholar.org/graph/v1/paper/DOI:10.1007/3-540-48184-2_32?fields=title,authors,year,abstract,externalIds",200,157,919,,Merkle|signature|abstract,"[match: 'Merkle'] ..., ""externalIds"": {""MAG"": ""1600255172"", ""DBLP"": ""conf/crypto/Merkle87"", ""DOI"": ""10.1007/3-540-48184-2_32"", ""CorpusId"": 28484604}, ""title"": ""A Digital Signature Based on a Conventional Encryption Function"", ""year"": 1987, ""openAccessPdf"": {""url"": ""https://link.springer.com/content/pdf/10.1007/3-540-48184-2_32.pdf"", ""status"": ""BRONZE"", ""license"": null, ""disclaim...",1f7b528efa9d9cd3
P005_doi_redirect,Merkle 1987 CRYPTO -- DOI resolver,https://doi.org/10.1007/3-540-48184-2_32,200,1690,227283,,Merkle|hash|signature,"[match: 'Merkle'] ...of modular...""/> <meta name=""citation_author"" content=""Merkle, Ralph C.""/> <meta name=""citation_author_institution"" content=""Elxsi""/> <meta name=""citation_publisher"" content=""Springer, Berlin, Heidelberg""/> <meta name=""citation_springer_api_url"" content=""http://api.springer.com/xmldata/jats?q=doi:10.1007/3-540-48184-2_32&amp;api_key=""/>...",690a7fd2419bba33
G001_godot,Godot HTTPRequest -- official stable docs,https://docs.godotengine.org/en/stable/classes/class_httprequest.html,200,299,1353638,,HTTPRequest|HTTP requests|HTTPClient|ability,"[match: 'HTTPRequest'] ...dth, initial-scale=1"" /> <meta property=""og:title"" content=""HTTPRequest"" /> <meta property=""og:type"" content=""website"" /> <meta property=""og:url"" content=""https://docs.godotengine.org/en/stable/classes/class_httprequest.html"" /> <meta property=""og:site_name"" content=""Godot Engine documentation"" /> <meta property=""og:description"" content=""Inherits: Node&lt; O...",087d29ed6e0072be
G002_godot,Godot ProjectSettings -- official stable docs,https://docs.godotengine.org/en/stable/classes/class_projectsettings.html,200,307,2694099,,ProjectSettings|everywhere|get_setting,"[match: 'ProjectSettings'] ...dth, initial-scale=1"" /> <meta property=""og:title"" content=""ProjectSettings"" /> <meta property=""og:type"" content=""website"" /> <meta property=""og:url"" content=""https://docs.godotengine.org/en/stable/classes/class_projectsettings.html"" /> <meta property=""og:site_name"" content=""Godot Engine documentation"" /> <meta property=""og:description"" content=""Inherits: Ob...",2f4d6e8c7b6b623a
G003_godot,Godot CanvasLayer -- official stable docs,https://docs.godotengine.org/en/stable/classes/class_canvaslayer.html,200,251,1311415,,CanvasLayer|separate|children,"[match: 'CanvasLayer'] ...dth, initial-scale=1"" /> <meta property=""og:title"" content=""CanvasLayer"" /> <meta property=""og:type"" content=""website"" /> <meta property=""og:url"" content=""https://docs.godotengine.org/en/stable/classes/class_canvaslayer.html"" /> <meta property=""og:site_name"" content=""Godot Engine documentation"" /> <meta property=""og:description"" content=""Inherits: Node&lt; O...",9fbb30684e39bf66
G004_godot,Godot InputEvent -- official stable docs,https://docs.godotengine.org/en/stable/classes/class_inputevent.html,200,244,1322322,,InputEvent|position|viewport|coordinate,"[match: 'InputEvent'] ...dth, initial-scale=1"" /> <meta property=""og:title"" content=""InputEvent"" /> <meta property=""og:type"" content=""website"" /> <meta property=""og:url"" content=""https://docs.godotengine.org/en/stable/classes/class_inputevent.html"" /> <meta property=""og:site_name"" content=""Godot Engine documentation"" /> <meta property=""og:description"" content=""Inherits: Resource&lt;...",03f3fc6325de05c4
G004b_godot_os,Godot OS.shell_open -- official stable docs,https://docs.godotengine.org/en/stable/classes/class_os.html,200,307,1489519,,shell_open|file manager|URL,"[match: 'shell_open'] ...ref=""#class-os-method-shell-open""><span class=""std std-ref"">shell_open</span></a>(uri: <a class=""reference internal"" href=""class_string.html#class-string""><span class=""std std-ref"">String</span></a>)</p></td> </tr> <tr class=""row-even""><td><p><a class=""reference internal"" href=""class_%40globalscope.html#enum-globalscope-error""><span class=""std std-ref"">Error...",10360e9c4c101162
